P	V	L	H	PS	RD
100.00	250.00	0.05	0.11	40.8	95.40
100.00	250.00	0.05	0.11	40.8	97.70
100.00	250.00	0.05	0.11	40.8	93.80
100.00	175.00	0.05	0.11	40.8	93.90
100.00	120.00	0.05	0.11	40.8	97.14
100.00	120.00	0.05	0.11	40.8	95.70
100.00	120.00	0.05	0.11	40.8	94.30
100.00	239.00	0.05	0.11	40.8	96.80
100.00	239.00	0.05	0.12	40.8	92.40
100.00	239.00	0.05	0.12	40.8	93.80
100.00	167.00	0.05	0.12	40.8	96.20
100.00	167.00	0.05	0.12	40.8	96.10
100.00	167.00	0.05	0.12	40.8	98.00
100.00	111.00	0.05	0.12	40.8	99.45
100.00	111.00	0.05	0.12	40.8	96.70
100.00	111.00	0.05	0.12	40.8	98.60
150.00	125.00	0.05	0.09	30	97.00
150.00	150.00	0.05	0.09	30	98.30
150.00	175.00	0.05	0.09	30	97.00
150.00	200.00	0.05	0.09	30	93.30
100.00	1700.00	0.02	0.06	35.5	98.12
80.00	1500.00	0.02	0.04	35.5	98.33
80.00	700.00	0.02	0.08	35.5	99.02
100.00	1500.00	0.02	0.04	35.5	99.13
100.00	700.00	0.02	0.08	35.5	99.40
80.00	700.00	0.02	0.04	35.5	99.21
80.00	300.00	0.02	0.08	35.5	98.38
100.00	700.00	0.02	0.04	35.5	98.92
100.00	300.00	0.02	0.08	35.5	97.63
80.00	300.00	0.02	0.04	35.5	97.36
100.00	1388.00	0.02	0.04	35.5	98.92
100.00	925.00	0.02	0.06	35.5	99.16
100.00	694.00	0.02	0.08	35.5	98.84
100.00	462.00	0.02	0.12	35.5	98.46
100.00	1388.00	0.02	0.04	35.5	99.24
100.00	925.00	0.02	0.06	35.5	99.52
100.00	694.00	0.02	0.08	35.5	99.44
100.00	462.00	0.02	0.12	35.5	98.90
100.00	1388.00	0.02	0.04	35.5	99.08
100.00	925.00	0.02	0.06	35.5	99.01
100.00	694.00	0.02	0.08	35.5	98.98
100.00	462.00	0.02	0.12	35.5	97.85
100.00	400.00	0.03	0.03	38	97.20
100.00	591.00	0.03	0.07	38	98.50
100.00	600.00	0.03	0.08	38	97.60
100.00	400.00	0.03	0.10	38	98.00
100.00	400.00	0.03	0.15	38	91.20
220.00	960.00	0.04	0.08	46	95.80
220.00	960.00	0.04	0.08	46	95.50
220.00	960.00	0.04	0.08	46	95.90
220.00	960.00	0.04	0.08	46	95.20
220.00	960.00	0.04	0.08	46	95.30
220.00	960.00	0.04	0.08	46	95.80
220.00	960.00	0.04	0.08	46	95.80
150.00	400.00	0.04	0.08	30	99.00
150.00	500.00	0.04	0.08	30	99.30
150.00	600.00	0.04	0.08	30	98.20
150.00	700.00	0.04	0.08	30	95.90
150.00	800.00	0.04	0.08	30	91.70
175.00	668.00	0.03	0.12	36	99.90
175.00	668.00	0.03	0.12	36	99.30
175.00	668.00	0.03	0.12	36	99.00
175.00	668.00	0.03	0.12	36	98.00
200.00	2000.00	0.03	0.06	16	97.92
200.00	2000.00	0.03	0.06	30	97.00
200.00	2000.00	0.03	0.06	48	97.22
150.00	1250.00	0.03	0.08	30	96.57
150.00	714.00	0.03	0.14	30	97.46
150.00	781.00	0.03	0.08	30	99.86
150.00	446.00	0.03	0.14	30	99.84
200.00	1667.00	0.03	0.08	30	97.38
200.00	952.00	0.03	0.14	30	97.35
200.00	1042.00	0.03	0.08	30	99.70
200.00	595.00	0.03	0.14	30	99.27
150.00	750.00	0.03	0.12	30	98.72
175.00	750.00	0.03	0.12	30	99.73
70.00	1200.00	0.02	0.06	33	93.73
130.00	700.00	0.02	0.06	33	99.81
70.00	1200.00	0.02	0.06	33	94.07
130.00	700.00	0.02	0.06	33	99.75
180.40	821.60	0.02	0.07	30	98.31
269.60	821.60	0.02	0.07	30	98.62
180.40	1178.40	0.02	0.07	30	98.25
269.60	1178.40	0.02	0.07	30	98.63
180.40	821.60	0.02	0.11	30	98.61
269.60	821.60	0.02	0.11	30	98.53
180.40	1178.40	0.02	0.11	30	98.25
269.60	1178.40	0.02	0.11	30	98.38
150.00	1000.00	0.02	0.09	30	98.37
300.00	1000.00	0.02	0.09	30	98.71
225.00	700.00	0.02	0.09	30	98.73
225.00	1300.00	0.02	0.09	30	98.37
225.00	1000.00	0.02	0.06	30	98.43
225.00	1000.00	0.02	0.12	30	98.33
225.00	1000.00	0.02	0.09	30	98.65
225.00	1000.00	0.02	0.09	30	98.63
225.00	1000.00	0.02	0.09	30	98.62
225.00	1000.00	0.02	0.09	30	98.68
225.00	1000.00	0.02	0.09	30	98.71
225.00	1000.00	0.02	0.09	30	98.67
200.00	1000.00	0.05	0.11	35	96.62
200.00	857.00	0.05	0.11	35	98.43
200.00	750.00	0.05	0.11	35	98.87
175.00	26.28	0.46	0.02	34	98.93
125.00	21.44	0.35	0.02	34	98.15
175.00	18.76	0.40	0.02	34	97.80
175.00	26.28	0.46	0.04	34	98.85
125.00	21.44	0.35	0.04	34	97.65
175.00	18.76	0.40	0.04	34	98.02
175.00	26.28	0.46	0.06	34	99.27
125.00	21.44	0.35	0.06	34	99.40
175.00	18.76	0.40	0.06	34	99.54
