P	V	L	H	PS	ED	RD
100.00	250.00	0.05	0.11	40.8	70.18	95.40
100.00	250.00	0.05	0.11	40.8	70.18	97.70
100.00	250.00	0.05	0.11	40.8	70.18	93.80
100.00	175.00	0.05	0.11	40.8	100.25	93.90
100.00	120.00	0.05	0.11	40.8	150.15	97.14
100.00	120.00	0.05	0.11	40.8	150.15	95.70
100.00	120.00	0.05	0.11	40.8	150.15	94.30
100.00	239.00	0.05	0.11	40.8	75.39	96.80
100.00	239.00	0.05	0.12	40.8	69.74	92.40
100.00	239.00	0.05	0.12	40.8	69.74	93.80
100.00	167.00	0.05	0.12	40.8	99.80	96.20
100.00	167.00	0.05	0.12	40.8	99.80	96.10
100.00	167.00	0.05	0.12	40.8	99.80	98.00
100.00	111.00	0.05	0.12	40.8	150.15	99.45
100.00	111.00	0.05	0.12	40.8	150.15	96.70
100.00	111.00	0.05	0.12	40.8	150.15	98.60
150.00	125.00	0.05	0.09	30	266.67	97.00
150.00	150.00	0.05	0.09	30	222.22	98.30
150.00	175.00	0.05	0.09	30	190.48	97.00
150.00	200.00	0.05	0.09	30	166.67	93.30
100.00	1700.00	0.02	0.06	35.5	49.02	98.12
80.00	1500.00	0.02	0.04	35.5	66.67	98.33
80.00	700.00	0.02	0.08	35.5	71.43	99.02
100.00	1500.00	0.02	0.04	35.5	83.33	99.13
100.00	700.00	0.02	0.08	35.5	89.29	99.40
80.00	700.00	0.02	0.04	35.5	142.86	99.21
80.00	300.00	0.02	0.08	35.5	166.67	98.38
100.00	700.00	0.02	0.04	35.5	178.57	98.92
100.00	300.00	0.02	0.08	35.5	208.33	97.63
80.00	300.00	0.02	0.04	35.5	333.33	97.36
100.00	1388.00	0.02	0.04	35.5	90.06	98.92
100.00	925.00	0.02	0.06	35.5	90.09	99.16
100.00	694.00	0.02	0.08	35.5	90.06	98.84
100.00	462.00	0.02	0.12	35.5	90.19	98.46
100.00	1388.00	0.02	0.04	35.5	90.06	99.24
100.00	925.00	0.02	0.06	35.5	90.09	99.52
100.00	694.00	0.02	0.08	35.5	90.06	99.44
100.00	462.00	0.02	0.12	35.5	90.19	98.90
100.00	1388.00	0.02	0.04	35.5	90.06	99.08
100.00	925.00	0.02	0.06	35.5	90.09	99.01
100.00	694.00	0.02	0.08	35.5	90.06	98.98
100.00	462.00	0.02	0.12	35.5	90.19	97.85
100.00	400.00	0.03	0.03	38	277.78	97.20
100.00	591.00	0.03	0.07	38	86.77	98.50
100.00	600.00	0.03	0.08	38	74.07	97.60
100.00	400.00	0.03	0.10	38	83.33	98.00
100.00	400.00	0.03	0.15	38	55.56	91.20
220.00	960.00	0.04	0.08	46	71.61	95.80
220.00	960.00	0.04	0.08	46	71.61	95.50
220.00	960.00	0.04	0.08	46	71.61	95.90
220.00	960.00	0.04	0.08	46	71.61	95.20
220.00	960.00	0.04	0.08	46	71.61	95.30
